spotify_id,name,followers,popularity,genres,chart_hits
6vWDO969PvNqNYHIOW5v0m,Beyoncé,32087569.0,88,"['dance pop', 'pop', 'r&b']","['us (31)', 'gb (34)', 'ar (2)', 'au (27)', 'at (5)', 'be (25)', 'bo (1)', 'br (32)', 'bg (17)', 'ca (25)', 'cl (2)', 'co (2)', 'cr (3)', 'cy (14)', 'cz (6)', 'dk (13)', 'do (7)', 'ec (2)', 'eg (1)', 'sv (2)', 'ee (16)', 'fi (7)', 'fr (13)', 'de (6)', 'gr (9)', 'gt (2)', 'hn (2)', 'hk (7)', 'hu (9)', 'is (35)', 'in (1)', 'id (2)', 'ie (37)', 'il (10)', 'it (4)', 'lv (13)', 'lt (19)', 'lu (15)', 'my (7)', 'mt (9)', 'mx (2)', 'ma (2)', 'nl (23)', 'nz (24)', 'ni (1)', 'no (16)', 'pa (5)', 'py (2)', 'pe (2)', 'ph (10)', 'pl (11)', 'pt (24)', 'ro (5)', 'sa (2)', 'sg (10)', 'sk (8)', 'za (26)', 'kr (5)', 'es (4)', 'se (17)', 'ch (13)', 'tw (11)', 'th (2)', 'tr (6)', 'ae (13)', 'uy (2)', 'vn (2)']"
2TM0qnbJH4QPhGMCdPt7fH,Neck Deep,807103.0,64,"['pop punk', 'uk pop punk']","['gb (1)', 'id (1)']"
5re6NsyXzHg6uvNimzQ3F6,Jota Quest,1988986.0,63,"['brazilian rock', 'mpb', 'pop rock brasileiro', 'rock mineiro', 'rock nacional brasileiro']",['br (1)']
40KlwpvpKEQtZTJgbml8lT,Teoman,1866271.0,64,"['turkish pop', 'turkish rock']",['tr (11)']
3KNIG74xSTc3dj0TRy7pGX,BLEU,1159612.0,67,"['alabama rap', 'pop rap', 'r&b', 'rap', 'trap']","['us (1)', 'gb (1)', 'ca (1)', 'za (1)']"
581C5Qwl87TskfBEzuoisu,Cafuné,104061.0,69,['brooklyn indie'],"['us (1)', 'id (1)', 'sa (1)', 'sg (1)', 'ae (1)']"
0huGjMyP507tBCARyzSkrv,Cordae,1803987.0,68,"['dmv rap', 'hip hop', 'rap', 'trap', 'underground hip hop']","['us (5)', 'au (1)', 'ca (3)', 'ie (1)', 'lu (1)', 'nz (1)', 'no (1)', 'za (2)']"
2Hjj68yyUPiC0HKEOigcEp,Jesse McCartney,922306.0,61,"['dance pop', 'neo mellow', 'pop', 'post-teen pop']","['ca (1)', 'cz (1)', 'ee (1)', 'gr (1)', 'hk (1)', 'hu (1)', 'is (1)', 'lv (1)', 'lt (1)', 'my (2)', 'ph (2)', 'sg (1)', 'sk (1)', 'tw (1)', 'tr (1)']"
0Je74SitssvJg1w4Ra2EK7,4 Non Blondes,395854.0,63,"['new wave pop', 'pop rock']",['py (1)']
5p7mWeX4RlvqBCxylfiXdE,KC Rebell,1159849.0,63,"['deep german hip hop', 'german drill', 'german hip hop']","['at (54)', 'de (69)', 'lu (20)', 'ch (46)']"
3Mcii5XWf6E0lrY3Uky4cA,Ice Cube,6028684.0,74,"['conscious hip hop', 'g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']","['us (1)', 'ca (1)', 'ee (1)', 'fi (1)', 'is (2)', 'lv (1)', 'lt (1)', 'nz (1)', 'sa (2)']"
19ra5tSw0tWufvUp8GotLo,George Michael,3898805.0,71,['dance pop'],"['gb (3)', 'ar (1)', 'au (2)', 'be (3)', 'bg (3)', 'cl (1)', 'cr (1)', 'cy (1)', 'dk (2)', 'ec (1)', 'sv (1)', 'fi (1)', 'gr (1)', 'hn (1)', 'hk (1)', 'hu (1)', 'is (2)', 'ie (3)', 'it (2)', 'lt (1)', 'lu (2)', 'mt (1)', 'nl (2)', 'ni (1)', 'pe (1)', 'pl (2)', 'pt (3)', 'sa (1)', 'sk (1)', 'es (2)', 'se (3)', 'tr (1)']"
45gHcnDnMC15sgx3VL7ROG,42 Dugg,710893.0,74,"['detroit trap', 'rap', 'southern hip hop', 'trap']","['us (2)', 'ca (1)']"
